0.000001
0.948836,0.051164
0.968547,0.031453
0.951856,0.048144
0.972125,0.027875
0.932096,0.067904
0.921291,0.078709
0.914653,0.085347
0.949510,0.050490
0.940997,0.059003
0.573250,0.426750
0.961453,0.038547
0.983446,0.016554
0.951722,0.048278
0.781501,0.218499
0.967115,0.032885
0.950023,0.049977
0.724758,0.275242
0.959481,0.040519
0.937311,0.062689,
0.917172,0.082828,
0.896063,0.103937,
0.485118,0.514882,
0.936884,0.063116,
0.605580,0.394420,
0.962439,0.037561,
0.950374,0.049626,
0.237015,0.762985,
0.956836,0.043164,
0.651797,0.348203,
0.931378,0.068622,
0.941644,0.058356,
0.940508,0.059492,
0.987790,0.012210,
0.969489,0.030511,
0.724000,0.276000,
0.844497,0.155503,
0.738829,0.261171,
0.970333,0.029667,
0.919658,0.080342,
0.937903,0.062097,
0.961406,0.038594,
0.834690,0.165310,
0.886728,0.113272,
0.410448,0.589552,
0.657001,0.342999,
0.993032,0.006968,
0.918068,0.081932,
0.987302,0.012698,
0.947455,0.052545,
0.773562,0.226438,
0.194295,0.805705,
0.941037,0.058963,
0.947486,0.052514,
0.656427,0.343573,
0.922856,0.077144,
0.938766,0.061234,
0.457893,0.542107,
0.943182,0.056818,
0.469294,0.530706,
0.972639,0.027361,
0.904072,0.095928,
0.953411,0.046589,
0.967252,0.032748,
0.765347,0.234653,
0.945914,0.054086,
0.959513,0.040487,
0.964321,0.035679,
0.964809,0.035191,
0.939447,0.060553,
0.783954,0.216046,
0.722926,0.277074,
0.974112,0.025888,
0.562996,0.437004,
0.540015,0.459985,
0.929845,0.070155,
0.955260,0.044740,
0.944420,0.055580,
0.970341,0.029659,
0.864691,0.135309,
0.950908,0.049092,
0.187777,0.812223,
0.980981,0.019019,
0.229168,0.770832,
0.981808,0.018192,
0.785922,0.214078,
0.710494,0.289506,
0.971235,0.028765,
0.943152,0.056848,
0.959690,0.040310,
0.966700,0.033300,
0.968919,0.031081,
0.983473,0.016527,
0.973631,0.026369,
0.955902,0.044098,
0.931341,0.068659,
0.942985,0.057015,
0.981943,0.018057,
0.940523,0.059477,
0.952009,0.047991,
0.921289,0.078711,
0.902252,0.097748,
0.961692,0.038308,
0.136687,0.863313,
0.956885,0.043115,
0.923637,0.076363,
0.814787,0.185213,
0.944059,0.055941,
0.976190,0.023810,
0.944150,0.055850,
0.917723,0.082277,
0.958904,0.041096,
0.984268,0.015732,
0.263036,0.736964,
0.966052,0.033948,
0.127651,0.872349,
0.934510,0.065490,
0.963082,0.036918,
0.994020,0.005980,
0.245013,0.754987,
0.948918,0.051082,
0.939592,0.060408,
0.943483,0.056517,
0.846915,0.153085,
0.156289,0.843711,
0.950982,0.049018,
0.949437,0.050563,
0.938361,0.061639,
0.928153,0.071847,
0.839034,0.160966,
0.939124,0.060876,
0.953458,0.046542,
0.722742,0.277258,
0.975707,0.024293,
0.972379,0.027621,
0.963343,0.036657,
0.961498,0.038502,
0.728318,0.271682,
0.942148,0.057852,
0.918561,0.081439,
0.949503,0.050497,
0.949663,0.050337,
0.954099,0.045901,
0.979421,0.020579,
0.899102,0.100898,
0.960116,0.039884,
0.909914,0.090086,
0.939934,0.060066,
0.937760,0.062240,
0.909967,0.090033,
0.936250,0.063750,
0.896521,0.103479,
0.955487,0.044513,
0.919770,0.080230,
0.587121,0.412879,
0.977039,0.022961,
0.091362,0.908638,
0.968183,0.031817,
0.969566,0.030434,
0.931819,0.068181,
0.777646,0.222354,
0.905262,0.094738,
0.966224,0.033776,
0.960092,0.039908,
0.982050,0.017950,
0.960602,0.039398,
0.950307,0.049693,
0.187878,0.812122,
0.976890,0.023110,
0.916113,0.083887,
0.928534,0.071466,
0.953817,0.046183,
0.964823,0.035177,
0.253122,0.746878,
0.849306,0.150694,
0.868269,0.131731,
0.775427,0.224573,
0.959800,0.040200,
0.944179,0.055821,
0.856186,0.143814,
0.954180,0.045820,
0.965006,0.034994,
0.906174,0.093826,
0.980124,0.019876,
0.920123,0.079877,
0.951192,0.048808,
0.976551,0.023449,
0.928486,0.071514,
0.942415,0.057585,
0.965381,0.034619,
0.971841,0.028159,
0.982563,0.017437,
0.932971,0.067029,
0.960393,0.039607,
0.958647,0.041353,
0.963051,0.036949,
0.943427,0.056573,
0.961157,0.038843,
0.984045,0.015955,
0.966354,0.033646,
0.968302,0.031698,
0.984848,0.015152,
0.956414,0.043586,
0.923487,0.076513,
0.980703,0.019297,
0.981821,0.018179,
0.933345,0.066655,
0.952817,0.047183,
0.861002,0.138998,
0.980819,0.019181,
0.967917,0.032083,
0.312378,0.687622,
0.973088,0.026912,
0.934045,0.065955,
0.466206,0.533794,
0.961391,0.038609,
0.973342,0.026658,
0.977188,0.022812,
0.981068,0.018932,
0.952923,0.047077,
0.947395,0.052605,
0.777374,0.222626,
0.939222,0.060778,
0.845641,0.154359,
0.978397,0.021603,
0.938985,0.061015,
0.938426,0.061574,
0.817378,0.182622,
0.974452,0.025548,
0.964558,0.035442,
0.956117,0.043883,
0.950031,0.049969,
0.983716,0.016284,
0.977491,0.022509,
0.977503,0.022497,
0.970728,0.029272,
0.946067,0.053933,
0.633624,0.366376,
0.953648,0.046352,
0.455060,0.544940,
0.831989,0.168011,
0.940601,0.059399,
0.897077,0.102923,
0.971865,0.028135,
0.843618,0.156382,
0.927273,0.072727,
0.934626,0.065374,
0.958174,0.041826,
0.971964,0.028036,
0.898673,0.101327,
0.816454,0.183546,
0.960077,0.039923,
0.965547,0.034453,
0.982694,0.017306,
0.942095,0.057905,
0.827132,0.172868,
0.510628,0.489372,
0.437731,0.562269,
0.964670,0.035330,
0.137333,0.862667,
0.939517,0.060483,
0.929365,0.070635,
0.934761,0.065239,
0.897221,0.102779,
0.918765,0.081235,
0.889577,0.110423,
0.959799,0.040201,
0.976245,0.023755,
0.918962,0.081038,
0.975238,0.024762,
0.933499,0.066501,
0.932878,0.067122,
0.830153,0.169847,
0.925169,0.074831,
0.619649,0.380351,
0.953813,0.046187,
0.962928,0.037072,
0.982588,0.017412,
0.909125,0.090875,
0.892730,0.107270,
0.972714,0.027286,
0.957578,0.042422,
0.966143,0.033857,
0.946048,0.053952,
0.953171,0.046829,
0.985356,0.014644,
0.909076,0.090924,
0.953127,0.046873,
0.973039,0.026961,
0.948728,0.051272,
0.942474,0.057526,
0.986655,0.013345,
0.976791,0.023209,
0.937566,0.062434,
0.716994,0.283006,
0.906623,0.093377,
0.929823,0.070177,
0.979377,0.020623,
0.956090,0.043910,
0.952301,0.047699,
0.927047,0.072953,
0.925452,0.074548,
0.934608,0.065392,
0.791079,0.208921,
0.582060,0.417940,
0.940497,0.059503,
0.979440,0.020560,
0.974819,0.025181,
0.954511,0.045489,
0.946803,0.053197,
0.959042,0.040958,
0.974122,0.025878,
0.978665,0.021335,
0.886291,0.113709,
0.978923,0.021077,
0.795573,0.204427,
0.877825,0.122175,
0.963241,0.036759,
0.948305,0.051695,
0.979562,0.020438,
0.771956,0.228044,
0.931711,0.068289,
0.814633,0.185367,
0.899555,0.100445,
0.958668,0.041332,
0.840533,0.159467,
0.912410,0.087590,
0.955734,0.044266,
0.973835,0.026165,
0.936099,0.063901,
0.955378,0.044622,
0.967646,0.032354,
0.835241,0.164759,
0.964328,0.035672,
0.932923,0.067077,
0.943644,0.056356,
0.745881,0.254119,
0.962875,0.037125,
0.954588,0.045412,
0.960293,0.039707,
0.961311,0.038689,
0.653069,0.346931,
0.930922,0.069078,
0.990285,0.009715,
0.823005,0.176995,
0.892498,0.107502,
0.916917,0.083083,
0.971088,0.028912,
0.878986,0.121014,
0.956788,0.043212,
0.947744,0.052256,
0.972553,0.027447,
0.966306,0.033694,
0.363144,0.636856,
0.912972,0.087028,
0.883621,0.116379,
0.965376,0.034624,
0.949801,0.050199,
0.979407,0.020593,
0.637797,0.362203,
0.954234,0.045766,
0.916425,0.083575,
0.979797,0.020203,
0.983355,0.016645,
0.923663,0.076337,
0.925738,0.074262,
0.887772,0.112228,
0.914891,0.085109,
0.984630,0.015370,
0.929174,0.070826,
0.580986,0.419014,
0.517503,0.482497,
0.963483,0.036517,
0.957980,0.042020,
0.970203,0.029797,
0.722534,0.277466,
0.960388,0.039612,
0.955224,0.044776,
0.942588,0.057412,
0.957788,0.042212,
0.955287,0.044713,
0.220821,0.779179,
0.922966,0.077034,
0.918878,0.081122,
0.976315,0.023685,
0.951812,0.048188,
0.914522,0.085478,
0.856154,0.143846,
0.905066,0.094934,
0.933350,0.066650,
0.960340,0.039660,
0.905761,0.094239,
0.961863,0.038137,
0.965573,0.034427,
0.917611,0.082389,
0.972499,0.027501,
0.937128,0.062872,
0.959286,0.040714,
0.959179,0.040821,
0.962258,0.037742,
0.773524,0.226476,
0.865400,0.134600,
0.947640,0.052360,
0.961693,0.038307,
0.975695,0.024305,
0.883443,0.116557,
0.945729,0.054271,
0.930126,0.069874,
0.944602,0.055398,
0.953284,0.046716,
0.988586,0.011414,
0.928520,0.071480,
0.954052,0.045948,
0.927576,0.072424,
0.976543,0.023457,
0.970796,0.029204,
0.957429,0.042571,
0.921080,0.078920,
0.941532,0.058468,
0.966524,0.033476,
0.950840,0.049160,
0.313368,0.686632,
0.969142,0.030858,
0.946676,0.053324,
0.969556,0.030444,
0.909897,0.090103,
0.918357,0.081643,
0.972514,0.027486,
0.425544,0.574456,
0.933907,0.066093,
0.385469,0.614531,
0.967670,0.032330,
0.970187,0.029813,
0.979094,0.020906,
0.959832,0.040168,
0.938894,0.061106,
0.951377,0.048623,
0.947869,0.052131,
0.956015,0.043985,
0.961982,0.038018,
0.961687,0.038313,
0.970149,0.029851,
0.961092,0.038908,
0.960813,0.039187,
0.897239,0.102761,
0.979470,0.020530,
0.950551,0.049449,
0.894314,0.105686,
0.824452,0.175548,
0.926154,0.073846,
0.954975,0.045025,
0.976181,0.023819,
0.942242,0.057758,
0.964897,0.035103,
0.919566,0.080434,
0.933955,0.066045,
0.757968,0.242032,
0.941102,0.058898,
0.988866,0.011134,
0.975193,0.024807,
0.987126,0.012874,
0.941939,0.058061,
0.925412,0.074588,
0.925930,0.074070,
0.974019,0.025981,
0.962515,0.037485,
0.316733,0.683267,
0.911397,0.088603,
0.964865,0.035135,
0.779005,0.220995,
0.972861,0.027139,
0.450726,0.549274,
0.665037,0.334963,
0.724756,0.275244,
0.964681,0.035319,
0.831073,0.168927,
0.532576,0.467424,
0.941159,0.058841,
0.933005,0.066995,
0.169790,0.830210,
0.993054,0.006946,
0.943590,0.056410,
0.894540,0.105460,
0.918602,0.081398,
0.946966,0.053034,
0.929993,0.070007,
0.940741,0.059259,
0.968455,0.031545,
0.973334,0.026666,
0.977034,0.022966,
0.995406,0.004594,
0.965174,0.034826,
0.948259,0.051741,
0.965609,0.034391,
0.964128,0.035872,
0.555046,0.444954,
0.763449,0.236551,
0.382597,0.617403,
0.955247,0.044753,
0.881972,0.118028,
0.913455,0.086545,
0.952118,0.047882,
0.985112,0.014888,
0.871592,0.128408,
0.968725,0.031275,
0.939781,0.060219,
0.786173,0.213827,
0.250065,0.749935,
0.933222,0.066778,
0.989363,0.010637,
0.945055,0.054945,
0.912287,0.087713,
0.965784,0.034216,
0.928748,0.071252,
0.946089,0.053911,
0.988741,0.011259,
0.890150,0.109850,
0.925375,0.074625,
0.159541,0.840459,
0.923359,0.076641,
0.949218,0.050782,
0.949468,0.050532,
0.867068,0.132932,
0.858320,0.141680,
0.974410,0.025590,
0.959716,0.040284,
0.909296,0.090704,
0.737897,0.262103,
0.828903,0.171097,
0.955240,0.044760,
0.983128,0.016872,
0.977238,0.022762,
0.977870,0.022130,
0.979053,0.020947,
0.958257,0.041743,
0.964162,0.035838,
0.735795,0.264205,
0.941979,0.058021,
0.935795,0.064205,
0.960180,0.039820,
0.957072,0.042928,
0.939403,0.060597,
0.930525,0.069475,
0.949018,0.050982,
0.970264,0.029736,
0.957071,0.042929,
0.948994,0.051006,
0.783367,0.216633,
0.951972,0.048028,
0.953863,0.046137,
0.981693,0.018307,
0.938583,0.061417,
0.953418,0.046582,
0.959288,0.040712,
0.758039,0.241961,
0.960705,0.039295,
0.961911,0.038089,
0.960892,0.039108,
0.972880,0.027120,
0.915325,0.084675,
0.940866,0.059134,
0.264107,0.735893,
0.928329,0.071671,
0.971547,0.028453,
0.972843,0.027157,
0.948670,0.051330,
0.987789,0.012211,
0.973808,0.026192,
0.970763,0.029237,
0.974160,0.025840,
0.942788,0.057212,
0.911994,0.088006,
0.948213,0.051787,
0.950195,0.049805,
0.954552,0.045448,
0.969221,0.030779,
0.842165,0.157835,
0.930379,0.069621,
